xls,site_name,proxy,age,age_uncertainty_older,age_uncertainty_younger,co2,co2_uncertainty_higher,co2_uncertainty_lower,reference,doi,co2_as_published,proxy_category,category_reason,co2_superseded,co2_recalculated,co2_revised_reason,age_as_published,age_quarantined,age_superseded,age_recalculated,age_revised_reason,modern_latitude,modern_longitude
boron_isotopes_martinez-boti_2015_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,2347.23,6,6,369.1,85.2,73.04,"Martínez-Botí, M. A., G. L. Foster, T. B. Chalk, E. J. Rohling, P. F. Sexton, D. J. Lunt, R. D. Pancost, M. P. S. Badger and D. N. Schmidt (2015). ""Plio-Pleistocene climate sensitivity evaluated using high-resolution CO2 records."" Nature 518(7537): 49-54.",10.1038/nature14145,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,-1.39472,-11.74306
boron_isotopes_martinez-boti_2015_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,2417.17,6,6,441.68,115.13,94.29,"Martínez-Botí, M. A., G. L. Foster, T. B. Chalk, E. J. Rohling, P. F. Sexton, D. J. Lunt, R. D. Pancost, M. P. S. Badger and D. N. Schmidt (2015). ""Plio-Pleistocene climate sensitivity evaluated using high-resolution CO2 records."" Nature 518(7537): 49-54.",10.1038/nature14145,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,-1.39472,-11.74306
boron_isotopes_martinez-boti_2015_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,2498.36,6,6,422.79,97.96,84.97,"Martínez-Botí, M. A., G. L. Foster, T. B. Chalk, E. J. Rohling, P. F. Sexton, D. J. Lunt, R. D. Pancost, M. P. S. Badger and D. N. Schmidt (2015). ""Plio-Pleistocene climate sensitivity evaluated using high-resolution CO2 records."" Nature 518(7537): 49-54.",10.1038/nature14145,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,-1.39472,-11.74306
boron_isotopes_martinez-boti_2015_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,2626.14,6,6,401.93,96.27,79.14,"Martínez-Botí, M. A., G. L. Foster, T. B. Chalk, E. J. Rohling, P. F. Sexton, D. J. Lunt, R. D. Pancost, M. P. S. Badger and D. N. Schmidt (2015). ""Plio-Pleistocene climate sensitivity evaluated using high-resolution CO2 records."" Nature 518(7537): 49-54.",10.1038/nature14145,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,-1.39472,-11.74306
boron_isotopes_martinez-boti_2015_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,2750.57,6,6,376.3,92.12,77.94,"Martínez-Botí, M. A., G. L. Foster, T. B. Chalk, E. J. Rohling, P. F. Sexton, D. J. Lunt, R. D. Pancost, M. P. S. Badger and D. N. Schmidt (2015). ""Plio-Pleistocene climate sensitivity evaluated using high-resolution CO2 records."" Nature 518(7537): 49-54.",10.1038/nature14145,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,-1.39472,-11.74306
boron_isotopes_martinez-boti_2015_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,2828.28,6,6,352.05,82.53,69.92,"Martínez-Botí, M. A., G. L. Foster, T. B. Chalk, E. J. Rohling, P. F. Sexton, D. J. Lunt, R. D. Pancost, M. P. S. Badger and D. N. Schmidt (2015). ""Plio-Pleistocene climate sensitivity evaluated using high-resolution CO2 records."" Nature 518(7537): 49-54.",10.1038/nature14145,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,-1.39472,-11.74306
boron_isotopes_martinez-boti_2015_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,3160.11,15,15,525.26,126.97,106.61,"Martínez-Botí, M. A., G. L. Foster, T. B. Chalk, E. J. Rohling, P. F. Sexton, D. J. Lunt, R. D. Pancost, M. P. S. Badger and D. N. Schmidt (2015). ""Plio-Pleistocene climate sensitivity evaluated using high-resolution CO2 records."" Nature 518(7537): 49-54.",10.1038/nature14145,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,-1.39472,-11.74306
boron_isotopes_martinez-boti_2015_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,3244.9,15,15,441.18,112.41,94.11,"Martínez-Botí, M. A., G. L. Foster, T. B. Chalk, E. J. Rohling, P. F. Sexton, D. J. Lunt, R. D. Pancost, M. P. S. Badger and D. N. Schmidt (2015). ""Plio-Pleistocene climate sensitivity evaluated using high-resolution CO2 records."" Nature 518(7537): 49-54.",10.1038/nature14145,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,-1.39472,-11.74306
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,17,4,4,185.27,19.8,18.92,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,3.7191,-42.9084
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,560,4,4,199.53,37.48,31.6,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,3.7191,-42.9084
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1530,6,6,189.11,30.57,25.78,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,3.7191,-42.9084
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1880,6,6,177.29,27.48,23.97,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,3.7191,-42.9084
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,2210,6,6,243.86,38.49,32.23,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,3.7191,-42.9084
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,2550,6,6,230.77,30.81,28.79,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,3.7191,-42.9084
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,2880,6,6,190.18,26.43,23.09,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,3.7191,-42.9084
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,3250,15,15,301.63,45.15,39.93,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,3.7191,-42.9084
