Site_Name,Latitude,Longitude,Elevation_mabsl,Site_Comments,Sample_ID,Type,Start_Date,Start_Time_Zone,Collection_Date,Collection_Time_Zone,Phase,Depth_meters,Sample_Comments,d2H,d18O,D17O,d2H_Analytical_SD,d18O_Analytical_SD,D17O_Analytical_SD,WI_Analysis_Source,Project_ID
"Alsea Guard Ranger Station",44.3846700000000,-123.609170000000,104.000000000000,,1-1-OR02-13JUN06,Precipitation,"2006-06-13 00:00:00",,"2006-06-20 00:00:00",,,,,,-5.56943288180000,0.003896,,,,JHU,00388
"Starkey Experimental Forest",45.2247000000000,-118.513000000000,1254.000000000000,,1-15-OR18-27JUN06,Precipitation,"2006-06-28 00:00:00",,"2006-07-05 00:00:00",,,,,,-4.15932594330000,0.002849,,,,JHU,00388
"H.J. Andrews Experimental Forest",44.2080000000000,-122.252000000000,436.000000000000,,1-18-OR10-27JUL06,Precipitation,"2006-06-28 00:00:00",,"2006-07-05 00:00:00",,,,,,-5.82198617020000,0.019125,,,0.000863,JHU,00388
"Smith's Ferry",44.2920000000000,-116.058170000000,1442.000000000000,,1-19-ID15-13JUN06,Precipitation,"2006-06-13 00:00:00",,"2006-06-20 00:00:00",,,,,,3.04362244180000,-0.041603,,,0.000526,JHU,00388
"Palouse Conservation Farm",46.7606000000000,-117.184700000000,766.000000000000,,1-20-WA24-13JUN06,Precipitation,"2006-06-13 00:00:00",,"2006-06-20 00:00:00",,,,,,-8.53833955010000,0.014709,,,,JHU,00388
"Olympic National Park - Hoh Ranger Station",47.8560000000000,-123.925830000000,176.000000000000,,1-21-WA14-23JAN06,Precipitation,"2006-01-21 00:00:00",,"2006-01-28 00:00:00",,,,,,-12.39750975250000,0.030107,,,,JHU,00388
"Smith's Ferry",44.2920000000000,-116.058170000000,1442.000000000000,,1-22-ID15-31JAN06,Precipitation,"2006-01-31 00:00:00",,"2006-02-07 00:00:00",,,,,,-16.70784945980000,0.010083,,,,JHU,00388
"Starkey Experimental Forest",45.2247000000000,-118.513000000000,1254.000000000000,,1-23-OR18-17JAN06,Precipitation,"2006-01-17 00:00:00",,"2006-01-24 00:00:00",,,,,,-20.10122160100000,0.070734,,,0.009471,JHU,00388
"Craters of the Moon National Monument",43.4568300000000,-113.552830000000,1807.000000000000,,1-3-ID03-27JUL06,Precipitation,"2006-06-28 00:00:00",,"2006-07-05 00:00:00",,,,,,0.31404930320000,-0.019408,,,0.001709,JHU,00388
"Palouse Conservation Farm",46.7606000000000,-117.184700000000,766.000000000000,,1-31-WA24-24JAN06,Precipitation,"2006-01-24 00:00:00",,"2006-01-31 00:00:00",,,,,,-14.20908439020000,0.02731,,,0.032903,JHU,00388
"Alsea Guard Ranger Station",44.3846700000000,-123.609170000000,104.000000000000,,1-33-OR02-24JAN06,Precipitation,"2006-01-24 00:00:00",,"2006-01-31 00:00:00",,,,,,-9.99075746190000,0.063716,,,,JHU,00388
"Alsea Guard Ranger Station",44.3846700000000,-123.609170000000,104.000000000000,,1-35-OR02-17JAN06,Precipitation,"2006-01-17 00:00:00",,"2006-01-24 00:00:00",,,,,,-11.36591435360000,0.046866,,,,JHU,00388
"Olympic National Park - Hoh Ranger Station",47.8560000000000,-123.925830000000,176.000000000000,,1-36-WA14-23JAN06,Precipitation,"2006-01-16 00:00:00",,"2006-01-23 00:00:00",,,,,,-13.90935839580000,0.008182,,,,JHU,00388
"Craters of the Moon National Monument",43.4568300000000,-113.552830000000,1807.000000000000,,1-37-ID03-24JAN06,Precipitation,"2006-01-24 00:00:00",,"2006-01-31 00:00:00",,,,,,-14.50477730870000,0.058336,,,,JHU,00388
"Smith's Ferry",44.2920000000000,-116.058170000000,1442.000000000000,,1-38-ID15-24JAN06,Precipitation,"2006-01-24 00:00:00",,"2006-01-31 00:00:00",,,,,,-17.93325057520000,0.026191,,,,JHU,00388
"H.J. Andrews Experimental Forest",44.2080000000000,-122.252000000000,436.000000000000,,1-40-OR10-24JAN06,Precipitation,"2006-01-24 00:00:00",,"2006-01-31 00:00:00",,,,,,-12.24639501150000,0.05261,,,,JHU,00388
"H.J. Andrews Experimental Forest",44.2080000000000,-122.252000000000,436.000000000000,,1-46-OR10-17JAN06,Precipitation,"2006-01-17 00:00:00",,"2006-01-24 00:00:00",,,,,,-15.44350688020000,0.04306,,,,JHU,00388
"Starkey Experimental Forest",45.2247000000000,-118.513000000000,1254.000000000000,,1-47-OR18-24JAN06,Precipitation,"2006-01-24 00:00:00",,"2006-01-31 00:00:00",,,,,,-21.45059218780000,0.037831,,,,JHU,00388
"H.J. Andrews Experimental Forest",44.2080000000000,-122.252000000000,436.000000000000,,1-6-OR10-13JUN06,Precipitation,"2006-06-13 00:00:00",,"2006-06-20 00:00:00",,,,,,-6.49282989430000,0.004856,,,,JHU,00388
