age,d13o,d13a,co2,D13_wet,D13_dry,d13_wet,d13_dry
0.002,-23.181,-6.312333333333333,260.81374999999997,21.581384249296672,14.951384249296673,-27.304449760630227,-20.950478922059503
0.023,-23.31,-7.301,210.55184000000003,21.563811055747603,14.9338110557476,-28.25551448021334,-21.907646403678932
0.043,-22.901,-6.738583333333334,212.05597246127368,21.564457867292532,14.934457867292531,-27.705585274289767,-21.354128862831175
0.053,-23.316,-6.85325,200.74774617067834,21.559357581261832,14.92935758126183,-27.812977650690943,-21.4621908594439
0.058,-23.114,-7.179500000000001,201.14161925601752,21.559544867089084,14.929544867089085,-28.132520528529938,-21.78382231446853
0.063,-23.431,-6.9815000000000005,208.94991416309014,21.56311195076628,14.933111950766278,-27.942093461321043,-21.592173605061515
0.068,-23.777,-6.434,230.89733905579402,21.571846161681577,14.941846161681575,-27.414465528691913,-21.061153643946195
0.072,-23.082,-6.260666666666666,241.1858208955224,21.575393330218542,14.945393330218542,-27.24817001136142,-20.89379402699125
0.072,-22.906,-6.260666666666666,241.1858208955224,21.575393330218542,14.945393330218542,-27.24817001136142,-20.89379402699125
0.077,-24.585,-6.374833333333333,237.17089552238807,21.574045716137682,14.94404571613768,-27.358642446596676,-21.004979672971587
0.077,-24.66,-6.374833333333333,237.17089552238807,21.574045716137682,14.94404571613768,-27.358642446596676,-21.004979672971587
0.079,-22.935,-6.4205,237.2322759601707,21.57406666189375,14.94406666189375,-27.403364646255255,-21.04999414614134
0.081,-24.125,-6.441666666666666,237.58789473684212,21.57418780196581,14.94418780196581,-27.424199635380184,-21.07096599562502
0.081,-23.011,-6.441666666666666,237.58789473684212,21.57418780196581,14.94418780196581,-27.424199635380184,-21.07096599562502
0.083,-23.111,-6.4383333333333335,237.94351351351352,21.574308579937778,14.944308579937777,-27.421051682682496,-21.06779823534229
0.08599999999999998,-23.768,-6.433333333333334,246.92479079497897,21.577243530355194,14.947243530355193,-27.418951470463348,-21.065702675657416
0.114,-23.547,-6.51,265.4107453416151,21.58265929662988,14.952659296629882,-27.499154415925545,-21.146463433578933
0.141,-23.135,-7.756800000000001,210.7188860103627,21.56388334518314,14.933883345183139,-28.701761899775164,-22.356809362197584
0.169,-23.218,-7.298933333333333,209.58809330628804,21.563391742597986,14.933391742597985,-28.25309257284322,-21.90520605274337
0.197,-23.105,-6.40275,242.47579029733961,21.575816837109983,14.945816837109982,-27.387655792140933,-21.034193631773196
0.205,-23.445,-6.33125,260.7008666666667,21.581352373716697,14.951352373716697,-27.322936454213643,-20.969086177324684
0.224,-22.334,-6.882000000000001,256.6721511627906,21.580196403610525,14.950196403610525,-27.860951596173617,-21.510608580569816
0.232,-22.501,-6.715,247.82411085450352,21.57752569802915,14.947525698029148,-27.69493747300018,-21.343493283685547
0.26,-23.117,-7.082,235.33024136963238,21.573412525783958,14.943412525783957,-28.050272427250263,-21.701123682325903
0.287,-22.908,-7.0495,259.5832584900365,21.581035291676034,14.951035291676035,-28.025711424352746,-21.67644992386607
0.29,-22.931,-7.095000000000001,262.27803817008135,21.581795243193223,14.95179524319322,-28.07097324631412,-21.72201216503152
0.294,-23.281,-6.995000000000001,265.8710777434746,21.582784548199243,14.95278454819924,-27.97402714733288,-21.624438971285922
0.295,-23.482,-6.970000000000001,266.7693376368229,21.583027710492956,14.953027710492956,-27.94978668986327,-21.600041688575878
0.302,-22.597,-6.841,273.057156890261,21.584685051222753,14.954685051222752,-27.82508926295961,-21.474540067887627
0.339,-22.874,-7.736,268.5115306122448,21.58349469087521,14.953494690875207,-28.700047370819263,-22.355206233154316
0.377,-22.944,-6.903,237.41497435897438,21.574128942680048,14.944128942680047,-27.87573425743819,-21.525449844652368
0.415,-23.789,-7.714666666666667,283.51134020618565,21.58727784121074,14.957277841210738,-28.68276176050023,-22.337831357887374
0.455,-23.455,-7.38625,265.63104234527685,21.582719291275293,14.95271929127529,-28.356949216381192,-22.009862003103184
0.49,-22.898,-6.9,256.8240390879479,21.580240643094843,14.950240643094842,-27.878613455920263,-21.528386090386114
0.522,-23.432,-7.029999999999999,248.77192182410423,21.577820871989022,14.94782087198902,-28.003564963431,-21.654138685776815
0.528,-24.683,-6.94,247.26214983713353,21.57734961957321,14.947349619573208,-27.915017526761755,-21.565009877386366
0.554,-23.16,-7.151333333333333,213.9789130434782,21.565271532241596,14.935271532241597,-28.11039653149427,-21.761589615691374
0.586,-26.253,-6.401,222.55131438721133,21.568727761829372,14.938727761829371,-27.379193393193116,-21.025631575699474
0.592,-28.019,-6.276666666666667,227.86392539964473,21.57073918527768,14.94073918527768,-27.259400434817845,-20.905068673247047
0.624,-24.634,-7.114000000000001,232.69518731988467,21.57248862440543,14.94248862440543,-28.08071766207517,-21.731762017668142
0.629,-24.667,-7.594,221.86089337175787,21.568459286545703,14.9384592865457,-28.54674987412249,-22.200813340332935
0.662,-22.388,-7.508666666666667,198.33054054054057,21.558191914126432,14.928191914126431,-28.45345356815121,-22.10684338019797
0.7,-23.422,-6.245,249.78669117647047,21.578134415570464,14.948134415570461,-27.235444336803138,-20.88100238518487
0.726,-23.132,-7.363333333333333,230.7836363636364,21.57180519337278,14.941805193372778,-28.324135787233274,-21.97676597079022
0.753,-23.963,-7.886333333333333,208.620623655914,21.562966913033165,14.932966913033166,-28.827689726612373,-22.483554077243628
0.786,-23.256,-7.5,207.0049247311828,21.56224858345794,14.93224858345794,-28.44882788470003,-22.1022128469823
0.8239999999999998,-24.267,-6.794000000000002,205.1444229390681,21.56140739960207,14.93140739960207,-27.756928946426367,-21.405788845637993
0.8389999999999999,-25.191,-6.537500000000001,204.41001433691756,21.561071138137326,14.931071138137325,-27.505522608484156,-21.15273810078807
0.872,-23.435,-7.720666666666666,202.79431541218636,21.56032278993632,14.93032278993632,-28.6630057994373,-22.317777829652197
0.885,-24.079,-7.831666666666667,202.15782795698925,21.560024701768736,14.930024701768735,-28.771379711158854,-22.426857827093833
0.934,-22.369,-6.865999999999999,253.0001331285203,21.579110711869678,14.949110711869679,-27.844256419895075,-21.493797552636796
0.982,-23.981,-6.609999999999999,301.646,21.59134923055502,14.961349230555022,-27.605313271099828,-21.25337013760014
0.998,-23.068,-6.443333333333333,300.126,21.59102686871514,14.96102686871514,-27.441862217581104,-21.08884936014112
1.031,-22.25,-6.449666666666665,296.991,21.590351576310393,14.960351576310394,-27.447418820774306,-21.094438033688387
1.047,-23.315,-7.213499999999991,295.471,21.590019003557035,14.960019003557033,-28.194792889276204,-21.8466920749509
1.095,-22.212,-6.496666666666667,255.42086315789325,21.579829946298744,14.949829946298744,-27.48340931363269,-21.130597769645572
1.143,-23.606,-6.729999999999993,280.1014687499995,21.586453411916462,14.956453411916463,-27.71811755857231,-21.36688065681483
1.191,-23.218,-6.6127500000000055,220.5418518518491,21.567941694110296,14.937941694110297,-27.585724398689567,-21.233506807458987
1.279,-22.176,-6.259000000000001,249.29888728162896,21.577984012446436,14.947984012446433,-27.249005409368028,-20.894651101830622
1.322,-21.572,-6.631333333333333,270.42328919550465,21.584000197959583,14.95400019795958,-27.61920069796065,-21.267302288658254
1.366,-21.381,-6.4431666666666665,252.27915448851735,21.578893830867926,14.948893830867926,-27.43014824087968,-21.076982917624015
1.37,-21.133,-6.6075,243.22278705636703,21.576060027999965,14.946060027999966,-27.58831293210561,-21.236163060138733
