"","depth_cm","d13o","n","d13o.se","age","d13o.low","d13o.high","d13a","co2","D13_wet","D13_dry","d13_wet","d13_dry"
"1",30,-24.495,2,0.0549999999999997,2.38660000000001,-24.55,-24.44,-6.14079999999985,371.341499471998,21.603295571523,14.973295571523,-27.1574061005762,-20.8026119146649
"2",176,-20.805,2,0.405000000000001,2.46544,-21.21,-20.4,-6.94168000000016,328.996597617817,21.5966407338586,14.9666407338586,-27.9350181822822,-21.5852618742407
"3",327,-22.0733333333333,6,0.537318444789597,2.54698,-22.6106517781229,-21.5360148885437,-6.17289666666666,263.320292887019,21.5820849967942,14.9520849967942,-27.1686260664487,-20.8137723698825
"4",640,-23.72,2,0.48,2.716,-24.2,-23.24,-6.51800000000009,262.65428063945,21.5819001062794,14.9519001062794,-27.5062626925518,-21.1536133919561
"5",750,-22.0666666666667,6,0.193005469122279,2.77539999999999,-22.259672135789,-21.8736611975444,-6.31909999999991,285.969788867577,21.5878600406496,14.9578600406496,-27.3172393019031,-20.9633925489255
"6",800,-23.0173333333333,15,0.179019729337477,2.80239999999999,-23.1963530626708,-22.8383136039958,-6.01760000000001,284.483169203214,21.5875091883159,14.9575091883159,-27.021776343222,-20.6659973431697
"7",845,-22.93,8,0.220607926292002,2.82669999999999,-23.150607926292,-22.709392073708,-6.19059999999988,352.118695652174,21.6004729321758,14.9704729321758,-27.2034652180713,-20.8489542272524
"8",950,-22.56125,8,0.237497650364317,2.88339999999999,-22.7987476503643,-22.3237523496357,-6.20946666666673,420.150149925051,21.6093020512942,14.9793020512942,-27.2303400743352,-20.8760599109145
"9",1000,-22.2042857142857,7,0.18003778892826,2.91039999999999,-22.384323503214,-22.0242479253574,-6.38639999999954,375.484782608711,21.6038661035299,14.9738661035299,-27.3983556956243,-21.0451390098656
"10",1220,-22.425,12,0.0857188851579818,3.02919999999999,-22.510718885158,-22.339281114842,-6.24306666666687,381.444767503978,21.6046650586515,14.9746650586515,-27.2588141751679,-20.9046909797421
"11",1285,-22.29875,8,0.28756637432575,3.075,-22.5863163743257,-22.0111836256742,-6.06000000000001,257.618445040205,21.5804711750278,14.9504711750278,-27.0565774845281,-20.7009817441669
"12",1320,-22.2533333333333,6,0.244030963427003,3.10222222222222,-22.4973642967603,-22.0093023699063,-6.17666666666667,281.815184501853,21.5868702431385,14.9568702431385,-27.1768732728499,-20.8221034108991
"13",1380,-21.81125,8,0.156814693872372,3.15230769230769,-21.9680646938724,-21.6544353061276,-6.12,349.946049382711,21.6001343999057,14.9701343999057,-27.1340355844694,-20.7790689450928
"14",1435,-23.0388888888889,9,0.161807880288498,3.19884615384615,-23.2006967691774,-22.8770810086004,-6.05066666666667,397.742577422573,21.6067275718269,14.9767275718269,-27.0724472461435,-20.7171195824345
"15",1545,-22.8025,8,0.243014917237605,3.345625,-23.0455149172376,-22.5594850827624,-6.19103305785124,302.261204471945,21.5914787815441,14.9614787815441,-27.1953245660699,-20.8407040873993
"16",1610,-23.125,10,0.301298117411237,3.38625,-23.4262981174112,-22.8237018825888,-6.19371900826446,261.624778512163,21.5816124557881,14.9516124557881,-27.1885585306133,-20.8338320808113
"17",1692,-21.8071428571429,7,0.283336534595761,3.4375,-22.0904793917387,-21.5238063225471,-6.19710743801653,254.012065183813,21.5794130392542,14.9494130392542,-27.1897809634144,-20.8350487281408
"18",1710,-22.1911111111111,9,0.278948643443578,3.44875,-22.4700597545547,-21.9121624676675,-6.19785123966942,257.548325610133,21.5804508840059,14.9504508840059,-27.1914973506373,-20.8367828254625
"19",1740,-21.4472727272727,11,0.262301321901119,3.4675,-21.7095740491738,-21.1849714053716,-6.19909090909091,263.442092987335,21.5821187083952,14.9521187083952,-27.1942990276791,-20.839613246389
"20",1765,-21.2166666666667,12,0.184293628251607,3.483125,-21.4009602949183,-21.0323730384151,-6.20012396694215,267.589808612441,21.5832483884586,14.9532483884586,-27.1963860010712,-20.8417209255579
"21",1790,-22.563,10,0.451840802840017,3.49875,-23.01484080284,-22.11115919716,-6.20115702479339,271.477368421053,21.5842758725647,14.9542758725647,-27.1983756539575,-20.8437300085963
"22",1815,-23.1433333333333,9,0.156542503990308,3.514375,-23.2998758373236,-22.986790829343,-6.20219008264463,275.364928229666,21.585274344945,14.955274344945,-27.2003376765658,-20.8457110991858
"23",1835,-22.7354545454545,11,0.228406987778649,3.526875,-22.9638615332331,-22.5070475576759,-6.20301652892562,278.474976076556,21.5860530509042,14.9560530509042,-27.2018881785235,-20.8472766049592
"24",1855,-22.4622222222222,9,0.199685709844368,3.539375,-22.6619079320666,-22.2625365123778,-6.20384297520661,281.585023923446,21.5868145555737,14.9568145555737,-27.2034222983489,-20.8488255138679
"25",1890,-21.38125,8,0.186704861632318,3.56125,-21.5679548616323,-21.1945451383677,-6.20528925619835,275.357761194029,21.5852725301196,14.9552725301196,-27.2033696389242,-20.8487628558922
"26",1915,-21.82375,8,0.280420204463638,3.576875,-22.1041702044636,-21.5433297955364,-6.20632231404959,269.504864220563,21.5837582431748,14.9537582431748,-27.2029389004923,-20.8483198228176
"27",1945,-21.83875,8,0.196854165564257,3.63172413793103,-22.0356041655643,-21.6418958344357,-6.20994870333428,270.386407919833,21.583990513437,14.953990513437,-27.2067098494783,-20.8521168590756
"28",1975,-21.3611111111111,9,0.216207490648094,3.69379310344828,-21.5773186017592,-21.144903620463,-6.21405243659162,279.610800432651,21.5863331245778,14.9563331245778,-27.2129575932564,-20.8584200819711
"29",2000,-22.5222222222222,9,0.323937484442848,3.74551724137931,-22.846159706665,-22.1982847377794,-6.21747221430607,274.05032090891,21.5849398740482,14.9549398740482,-27.2149784155805,-20.8604453819218
"30",2020,-22.9209090909091,11,0.203382552865081,3.78689655172414,-23.1242916437742,-22.717526538044,-6.22020803647763,261.590864877598,21.5816029415477,14.9516029415477,-27.2144789001414,-20.8599217112076
"31",2045,-22.24375,8,0.211135852508014,3.83862068965517,-22.454885852508,-22.032614147492,-6.22362781419208,307.667986905839,21.5925950673546,14.9625950673546,-27.2282933684663,-20.8738952395982
"32",2070,-23.8564705882353,17,0.23740778577672,3.8903448275862,-24.093878374012,-23.6190628024586,-6.22704759190653,326.383774675233,21.5961735463287,14.9661735463287,-27.2350483084239,-20.8807167082084
