age,d13,d13a,co2,D13_wet,D13_dry,d13_wet,d13_dry
0,-20.68,-6.206666667,NA,NA,NA,NA,NA
0,-20.77,-6.206666667,NA,NA,NA,NA,NA
0.0031,-20.73,-6.37045,259.37,21.58097448,14.95097448,-27.36094854,-21.00734421
0.0061,-21.29,-6.52895,263.785,21.58221345,14.95221345,-27.51727965,-21.16470427
0.007,-21.48,-6.5765,263.6725,21.58218239,14.95218239,-27.56379553,-21.21152382
0.0078,-19.49,-6.618766667,263.5725,21.58215477,14.95215477,-27.60514297,-21.25314118
0.0084,-23.07,-6.650466667,244.1897143,21.57637261,14.94637261,-27.63066965,-21.27879843
0.009,-21.58,-6.682166667,252.9964948,21.57910962,14.94910962,-27.66430521,-21.31267083
0.0096,-20.77,-6.713866667,262.7283133,21.5819207,14.9519207,-27.69801109,-21.34661448
0.0102,-19.42,-6.7485,244.4463855,21.57645517,14.94645517,-27.72671103,-21.3754677
0.0107,-22.22,-6.78225,261.4379279,21.58156001,14.95156001,-27.76460648,-21.41364264
0.0112,-21.34,-6.816,258.7127027,21.5807864,14.9507864,-27.79690729,-21.4461496
0.0116,-20.59,-6.843,256.5325225,21.58015569,14.95015569,-27.8227367,-21.4721438
0.0121,-20.71,-6.87675,231.3,21.57199092,14.94199092,-27.84800403,-21.4975251
0.0135,-21.88,-6.97125,224.5461644,21.5694942,14.9394942,-27.9381328,-21.58822701
0.0149,-21.06,-7.06575,229.6291489,21.57138692,14.94138692,-28.03243835,-21.68316043
0.0169,-19.91,-7.20075,187.3773171,21.55253295,14.92253295,-28.14665132,-21.79800156
0.0189,-20.68,-7.33575,206.6817778,21.56210357,14.93210357,-28.28790679,-21.94023964
0.0216,-20.71,-7.351866667,202.1036913,21.55999926,14.92999926,-28.30168169,-21.95409136
0.0242,-21.22,-7.2574,198.2161538,21.55813605,14.92813605,-28.2074363,-21.85921866
0.0262,-19.64,-7.184733333,186.1879032,21.55187837,14.92187837,-28.13034983,-21.78158947
0.0282,-20.14,-7.112066667,218.8506838,21.56726895,14.93726895,-28.07385915,-21.72482605
0.0304,-20.63,-7.035733333,247.1874359,21.57732615,14.94732615,-28.00870649,-21.6593107
