"","age","d13C","co2","D13_wet","D13_dry","d13_wet","d13_dry","d13te_wet","d13te_dry"
"1",0.01,-6.55,250.540361445783,21.5783656410121,14.9483656410121,-27.5342221282871,-21.181733346045,-13.6263537156781,-7.18301384120605
"2",0.01,-6.92,250.540361445783,21.5783656410121,14.9483656410121,-27.8964067755391,-21.5462839109068,-13.9937182021899,-7.55277808186111
"3",0.02,-7.42,174.560413223141,21.5450094262755,14.9150094262755,-28.3541196511184,-22.0067781231271,-14.457977128632,-8.01985812265661
"4",0.02,-7.4,174.560413223141,21.5450094262755,14.9150094262755,-28.3345414633582,-21.9870720395494,-14.4381189404181,-7.99987020950334
"5",0.03,-7.35,242.035299145299,21.5756727280368,14.9456727280368,-28.314762675185,-21.9673558172912,-14.4180572828735,-7.97987201266983
"6",0.03,-6.97,242.035299145299,21.5756727280368,14.9456727280368,-27.9427882731465,-21.5929515410716,-14.0407630318963,-7.60011313629332
"7",0.03,-6.82,242.035299145299,21.5756727280368,14.9456727280368,-27.7959562723419,-21.4451603794059,-13.891831090721,-7.45020831667102
"8",0.04,-6.81,213.328835341365,21.5649981023696,14.9349981023696,-27.776008531105,-21.4250155359963,-13.8715980638045,-7.42977536869489
"9",0.04,-6.82,213.328835341365,21.5649981023696,14.9349981023696,-27.7857974334446,-21.434868383734,-13.8815269636318,-7.43976912844516
"10",0.04,-6.69,213.328835341365,21.5649981023696,14.9349981023696,-27.6585417030295,-21.3067813631435,-13.7524512658784,-7.30985025169241
"11",0.05,-6.76,204.406618444846,21.5610695776581,14.9310695776581,-27.7233250375984,-21.3719633065174,-13.8181611092388,-7.37596440462255
"12",0.05,-6.57,204.406618444846,21.5610695776581,14.9310695776581,-27.537335177904,-21.1847584748838,-13.6295112870515,-7.18608223438866
"13",0.05,-6.65,204.406618444846,21.5610695776581,14.9310695776581,-27.6156466977754,-21.2635815618874,-13.7089427911303,-7.26603262185552
"14",0.05,-6.65,204.406618444846,21.5610695776581,14.9310695776581,-27.6156466977754,-21.2635815618874,-13.7089427911303,-7.26603262185552
"15",0.06,-7.11,201.299168490153,21.5596195762059,14.9296195762059,-28.0645583740863,-21.7154166664371,-14.1642746466034,-7.72432971542457
"16",0.06,-7.49,201.299168490153,21.5596195762059,14.9296195762059,-28.436538621463,-22.0898268646129,-14.5415748265169,-8.10409459845118
"17",0.06,-7.57,201.299168490153,21.5596195762059,14.9296195762059,-28.5148502524897,-22.1686500642289,-14.6210064433409,-8.18404510014091
"18",0.06,-7.07,201.299168490153,21.5596195762059,14.9296195762059,-28.025402558573,-21.6760050666292,-14.1245588381914,-7.68435446457977
"19",0.07,-6.26,239.676309012876,21.5748919572857,14.9448919572857,-27.2470400128526,-20.892653507909,-13.3350644211914,-6.88979968344563
"20",0.07,-6.17,239.676309012876,21.5748919572857,14.9448919572857,-27.1589407450372,-20.8039787426945,-13.2457051881908,-6.79985672248154
"21",0.08,-6.26,237.410085348506,21.574127277294,14.944127277294,-27.2463118770223,-20.8919158280925,-13.3343258718148,-6.88905145358808
"22",0.08,-6.37,237.410085348506,21.574127277294,14.944127277294,-27.3539888405072,-21.000296178344,-13.4435427939012,-6.99898182203469
"23",0.08,-6.7,237.410085348506,21.574127277294,14.944127277294,-27.677019730962,-21.3254372290984,-13.7711935601602,-7.32877292737442
"24",0.09,-6.52,263.914088888889,21.5822490525957,14.9522490525957,-27.5085526188982,-21.155920460927,-13.6003170898653,-7.15683178915413
"25",0.09,-6.37,263.914088888889,21.5822490525957,14.9522490525957,-27.3617215633086,-21.0081302568657,-13.4513861074232,-7.00692794083136
"26",0.09,-6.39,263.914088888889,21.5822490525957,14.9522490525957,-27.3812990373872,-21.0278356174072,-13.4712435717489,-7.02691512060778
"27",0.1,-6.29,271.8252,21.5843663722127,14.9543663722127,-27.2854277040265,-20.9313512765576,-13.3740011198158,-6.92905089416536
"28",0.1,-6.4,271.8252,21.5843663722127,14.9543663722127,-27.3931035882911,-21.039730533443,-13.4832169472472,-7.03898015360892
"29",0.11,-6.64,269.817307692308,21.5838407398168,14.9538407398168,-27.6275324787611,-21.2756874973513,-13.7209985584351,-7.27831169221156
"30",0.11,-6.66,269.817307692308,21.5838407398168,14.9538407398168,-27.6471099223369,-21.2953928269902,-13.7408559918216,-7.29829884064327
"31",0.12,-6.35,309.109413919414,21.5928860716128,14.9628860716128,-27.3522715874257,-20.9986851382357,-13.4418009812614,-6.99734774138926
"32",0.12,-6.42,309.109413919414,21.5928860716128,14.9628860716128,-27.4207920332455,-21.0676531773242,-13.5113013827422,-7.06730213746243
"33",0.12,-6.31,309.109413919414,21.5928860716128,14.9628860716128,-27.3131170469572,-20.9592748301851,-13.4020864661296,-6.95737380077605
"34",0.12,-6.12,309.109413919414,21.5928860716128,14.9628860716128,-27.127132979732,-20.7720758669448,-13.2134425192535,-6.76749758286314
"35",0.13,-7.01,278.053768115942,21.5859486070622,14.9559486070622,-27.9917207612859,-21.6422679597164,-14.0903953355167,-7.65013486126031
"36",0.13,-7.43,278.053768115942,21.5859486070622,14.9559486070622,-28.4028462280884,-22.0560790227251,-14.5074005762129,-8.06986410662853
"37",0.14,-7.74,209.680025906736,21.5634319075364,14.9334319075364,-28.6848872936054,-22.339821701333,-14.7934752952686,-8.35766477465563
"38",0.14,-7.82,209.680025906736,21.5634319075364,14.9334319075364,-28.763198632384,-22.4186446048703,-14.8729066156649,-8.43761497603236
"39",0.15,-7.6,209.871671641791,21.5635155235587,14.9335155235587,-28.547921965099,-22.201962176739,-14.6545511361182,-8.21783363093505
"40",0.15,-7.59,209.871671641791,21.5635155235587,14.9335155235587,-28.5381330485529,-22.1921093146085,-14.6446222218815,-8.20783985658636
"41",0.15,-7.5,209.871671641791,21.5635155235587,14.9335155235587,-28.450032799638,-22.1034335554347,-14.5552619937499,-8.11789588744762
"42",0.15,-7.39,209.871671641791,21.5635155235587,14.9335155235587,-28.3423547176309,-21.995052072,-14.4460439371446,-8.0079643696115
"43",0.15,-7.66,209.871671641791,21.5635155235587,14.9335155235587,-28.6066554643756,-22.2610793495215,-14.7141246215392,-8.27779627702762
"44",0.16,-7.45,209.683935091278,21.5634336146608,14.9334336146608,-28.4010103141621,-22.0540903209216,-14.5055384056823,-8.06784696310137
"45",0.16,-7.33,209.683935091278,21.5634336146608,14.9334336146608,-28.2835433061904,-21.9358559658146,-14.3863914252869,-7.94792166123796
"46",0.16,-7.25,209.683935091278,21.5634336146608,14.9334336146608,-28.2052319675426,-21.8570330624099,-14.3069601050234,-7.86797145999583
"47",0.17,-7.17,209.508330058939,21.5633568658363,14.9333568658363,-28.126847613241,-21.7781361862936,-14.2274547248616,-7.78794622810994
"48",0.17,-7.09,209.508330058939,21.5633568658363,14.9333568658363,-28.0485362687098,-21.6993132769284,-14.1480233986305,-7.70799602082195
"49",0.17,-7.34,209.508330058939,21.5633568658363,14.9333568658363,-28.2932592203699,-21.9456348686948,-14.3962462931026,-7.95784041859702
"50",0.17,-7.4,209.508330058939,21.5633568658363,14.9333568658363,-28.3519927287683,-22.0047520507187,-14.4558197877759,-8.01780307406295
"51",0.17,-7.47,209.508330058939,21.5633568658363,14.9333568658363,-28.4205151552331,-22.0737220964133,-14.5253221982282,-8.08775950543998
"52",0.18,-7.72,206.6460496614,21.5620875052707,14.9320875052707,-28.6640311572052,-22.3188209183041,-14.7723208816363,-8.33636364570862
"53",0.18,-7.44,206.6460496614,21.5620875052707,14.9320875052707,-28.3899411107708,-22.0429403904865,-14.4943108943816,-8.05653757022662
"54",0.19,-6.77,223.733368794326,21.5691835654491,14.9391835654491,-27.740836373451,-21.3896398099297,-13.8359228861457,-7.39389371125844
"55",0.19,-6.41,223.733368794326,21.5691835654491,14.9391835654491,-27.3884373330419,-21.0349387541134,-13.4784839568332,-7.03411984391255
"56",0.2,-6.34,250.260125925926,21.5782798276235,14.9482798276235,-27.328576163869,-20.9747434925837,-13.417766673972,-6.97306369062142
"57",0.2,-6.42,250.260125925926,21.5782798276235,14.9482798276235,-27.4068863644476,-21.053565243002,-13.4971968398901,-7.05301272238773
"58",0.2,-6.21,250.260125925926,21.5782798276235,14.9482798276235,-27.2013220879289,-20.8466581481541,-13.2886926543553,-6.84314651400155
"59",0.2,-6.32,250.260125925926,21.5782798276235,14.9482798276235,-27.3089986137244,-20.9550380549792,-13.3979091324925,-6.95307643267995
"60",0.21,-6.24,271.141607407407,21.5841882932185,14.9541882932185,-27.236314551525,-20.8819161866403,-13.3241855680344,-6.87890880073064
"61",0.21,-6.35,271.141607407407,21.5841882932185,14.9541882932185,-27.3439904545593,-20.9902954625414,-13.4334014145038,-6.98883807946174
"62",0.21,-6.43,271.141607407407,21.5841882932185,14.9541882932185,-27.4223002022206,-21.0691167541058,-13.5128311210271,-7.06878664581177
"63",0.22,-6.82,261.694216459977,21.5816319284403,14.9516319284403,-27.8016274380604,-21.4509058792028,-13.8975833634856,-7.4560359866141
"64",0.22,-6.95,261.694216459977,21.5816319284403,14.9516319284403,-27.9288810964437,-21.5789908006025,-14.0266569595736,-7.58595273415403
"65",0.22,-7.12,261.694216459977,21.5816319284403,14.9516319284403,-28.0952897266371,-21.7464864670482,-14.1954455083043,-7.75584386555249
"66",0.23,-6.93,241.581616628176,21.5755237539678,14.9455237539678,-27.9034913142975,-21.5533969479042,-14.0009040615656,-7.55999284704751
