age,d13,ref,d13a,co2,D13_wet,D13_dry,d13_wet,d13_dry
8.6,-23.534819320859157,vogeli_2017,-5.734999999999999,486.43235294117653,21.615528941210616,14.985528941210616,-26.771841428013882,-20.41460528292003
6.8,-23.06497142343683,vogeli_2017,-6.134285714285714,338.66735435707824,21.598307201733547,14.968307201733545,-27.14627923766023,-20.79138113602688
12.8,-23.272595413964662,vogeli_2017,-6.003333333333337,NA,NA,NA,NA,NA
11.6,-24.59403695182749,vogeli_2017,-5.825,NA,NA,NA,NA,NA
11,-23.3,vogeli_2017,-6.256666666666668,NA,NA,NA,NA,NA
10,-24.02024108888244,vogeli_2017,-5.955,NA,NA,NA,NA,NA
9,-26.12,vogeli_2017,-5.9825,458.1558823529412,21.613092865901024,14.983092865901023,-27.011784655664428,-20.656100592476555
8.3,-23.38627163761096,vogeli_2017,-5.830000000000001,404.4255172413793,21.60752525080276,14.977525250802756,-26.857207462393053,-20.500478811746284
8,-26.6,vogeli_2017,-6.0295000000000005,408.17655172413794,21.60796153118326,14.977961531183261,-27.052903434464536,-20.697455833909597
5.5,-22.846254239170182,vogeli_2017,-6.333471074380165,341.9222560975608,21.598846884320626,14.968846884320623,-27.341767312961416,-20.988149561529042
4,-23.00305354986784,vogeli_2017,-6.2342975206611575,391.8020660175742,21.605995664226185,14.975995664226184,-27.25149744915718,-20.897334789683164
2,-27.88,vogeli_2017,-5.8966666666666665,288.8476698369568,21.588528977364305,14.958528977364306,-26.90436987535906,-20.54783032863807
0.8,-23.05,vogeli_2017,-7.7375,206.31947670250895,21.5619404386495,14.931940438649502,-28.6810219516093,-22.335921784914824
9.7,-24.16740430804119,vogeli_2017,-6.0024999999999995,NA,NA,NA,NA,NA
12.3,-23.292165665662296,vogeli_2017,-6.005000000000001,NA,NA,NA,NA,NA
3.2,-22.729650444259853,vogeli_2017,-6.036666666666667,384.0862337662305,21.605011225834026,14.975011225834026,-27.05710875412912,-20.70167014961667
6.3,-23.36300456666804,vogeli_2017,-6.415000000000002,381.3509213294069,21.604652671788315,14.974652671788316,-27.4270997087855,-21.07407570768674
7.5,-24.18,vogeli_2017,-5.934285714285715,414.428275862069,21.608671114838724,14.978671114838724,-26.9603788690125,-20.604331326641507
2,-23.359075208736176,vogeli_2017,-5.8966666666666665,288.8476698369568,21.588528977364305,14.958528977364306,-26.90436987535906,-20.54783032863807
2,-28.769600257279453,vogeli_2017,-5.8966666666666665,288.8476698369568,21.588528977364305,14.958528977364306,-26.90436987535906,-20.54783032863807
2,-23.195601955286893,vogeli_2017,-5.8966666666666665,288.8476698369568,21.588528977364305,14.958528977364306,-26.90436987535906,-20.54783032863807
3.5,-24.35135337779417,vogeli_2017,-6.201239669421488,271.78837320574166,21.584356801493986,14.954356801493986,-27.19853361685191,-20.843889510051252
3.5,-23.62231347252824,vogeli_2017,-6.201239669421488,271.78837320574166,21.584356801493986,14.954356801493986,-27.19853361685191,-20.843889510051252
6.2,-23.339061619563022,vogeli_2017,-6.425,401.13220745312145,21.607135481411717,14.977135481411715,-27.43925184919753,-21.08632276850307
6.5,-22.78745465857515,vogeli_2017,-6.49,326.87187290268434,21.59626138835532,14.96626138835532,-27.49252561886427,-21.139876471367298
7.5,-24.57893245037572,vogeli_2017,-5.934285714285715,414.428275862069,21.608671114838724,14.978671114838724,-26.9603788690125,-20.604331326641507
8,-24.84404856254105,vogeli_2017,-6.0295000000000005,408.17655172413794,21.60796153118326,14.977961531183261,-27.052903434464536,-20.697455833909597
8,-24.42182156812731,vogeli_2017,-6.0295000000000005,408.17655172413794,21.60796153118326,14.977961531183261,-27.052903434464536,-20.697455833909597
8.3,-25.26790312313031,vogeli_2017,-5.830000000000001,404.4255172413793,21.60752525080276,14.977525250802756,-26.857207462393053,-20.500478811746284
8.3,-23.93773699855628,vogeli_2017,-5.830000000000001,404.4255172413793,21.60752525080276,14.977525250802756,-26.857207462393053,-20.500478811746284
9.1,-28.576056421593428,vogeli_2017,-5.67,451.0867647058824,21.612436126478865,14.982436126478863,-26.70527018046324,-20.347579811622793
9.1,-24.2498529599766,vogeli_2017,-5.67,451.0867647058824,21.612436126478865,14.982436126478863,-26.70527018046324,-20.347579811622793
12.8,-25.706855784810976,vogeli_2017,-6.003333333333337,NA,NA,NA,NA,NA
0.01,-24.042242860247317,vogeli_2017,-6.734999999999999,250.54036144578313,21.578365641012077,14.948365641012078,-27.715314451913073,-21.364008628475883
5.8,-23.719978729821,vogeli_2017,-6.32,430.18,21.610367520572783,14.980367520572784,-27.33954980151504,-20.985989682348258
5.2,-24.679933480977297,vogeli_2017,-6.3136363636363635,331.55959405374455,21.597091858162646,14.967091858162645,-27.320680965362516,-20.966914486694414
4.9,-22.847063028057295,vogeli_2017,-6.2938016528925615,367.6724300052822,21.60277960370941,14.97277960370941,-27.306681044293313,-20.952858720906185
4.6,-20.12286464762073,vogeli_2017,-6.2739669421487605,360.7287772613513,21.60177441554354,14.971774415543539,-27.286308673103044,-20.932346980709237
4,-22.187326212288095,vogeli_2017,-6.2342975206611575,391.8020660175742,21.605995664226185,14.975995664226184,-27.25149744915718,-20.897334789683164
3.8,-18.2069113663502,vogeli_2017,-6.221074380165289,268.02666067992317,21.583365335182354,14.953365335182351,-27.217005149868488,-20.862475497438155
3.5,-22.384324943720323,vogeli_2017,-6.201239669421488,271.78837320574166,21.584356801493986,14.954356801493986,-27.19853361685191,-20.843889510051252
3.3,-23.426498987244695,vogeli_2017,-6.4,393.53306962025323,21.606211215823546,14.976211215823547,-27.413900687323626,-21.060800223305066
3.1,-17.8985361921936,vogeli_2017,-6.175,306.7967343173405,21.592417847544166,14.962417847544165,-27.18052460300072,-20.825813326537553
3,-18.8187634258717,vogeli_2017,-6.23,316.31378048780886,21.594300779212368,14.964300779212369,-27.236155054887856,-20.881818959485567
1.1,-20.797019912054324,vogeli_2017,-6.48,317.45824324324343,21.594519604834176,14.964519604834175,-27.481078907601972,-21.128344085548306
1.9,-23.00423241548452,vogeli_2017,-6.779999999999999,182.52283927257437,21.54980768501893,14.91980768501893,-27.732184443574425,-21.38081011002741
2.3,-18.904539845243068,vogeli_2017,-6.65,211.91746276539573,21.564398688765657,14.934398688765658,-27.618815539167567,-21.266791939115876
2.7,-22.546517985047288,vogeli_2017,-6.97,280.2228463476067,21.58648310264402,14.956483102644018,-27.953074531600674,-21.603372625017816
0.5,-21.626229401468695,vogeli_2017,-7.44,254.30775244299673,21.579500925294035,14.949500925294036,-28.406502772431974,-22.059719133693164
5,-22.1206625706957,vogeli_2017,-6.300413223140496,319.924155361457,21.59498577575892,14.964985775758922,-27.305732102548205,-20.95185478999143
5.4,-24.3847594566588,vogeli_2017,-6.326859504132231,324.7789716413638,21.595882872117716,14.965882872117714,-27.33247348036277,-20.978776464876265
5.6,-23.1288543905729,vogeli_2017,-6.340082644628099,306.4501090909114,21.592347060971992,14.96234706097199,-27.342050658424707,-20.988394069283032
6,-25.247878674781,vogeli_2017,-6.26,345.7828862478774,21.599473828047593,14.96947382804759,-27.27044653190259,-20.916366822322978
6.2,-22.49,vogeli_2017,-6.425,401.13220745312145,21.607135481411717,14.977135481411715,-27.43925184919753,-21.08632276850307
6.8,-26.96,vogeli_2017,-6.134285714285714,338.66735435707824,21.598307201733547,14.968307201733545,-27.14627923766023,-20.79138113602688
7.2,-26.42,vogeli_2017,-5.988571428571428,418.17931034482757,21.609086681179498,14.979086681179497,-27.013912140704672,-20.658216888302437
7.9,-24.8830257184294,vogeli_2017,-6.05952380952381,409.42689655172416,21.60810518150687,14.978105181506868,-27.082429016276286,-20.727175181053347
9,-24.94926176252683,vogeli_2017,-5.9825,458.1558823529412,21.613092865901024,14.983092865901023,-27.011784655664428,-20.656100592476555
9.6,-24.447402334038095,vogeli_2017,-5.995,NA,NA,NA,NA,NA
10.6,-24.340032703810696,vogeli_2017,-5.9,NA,NA,NA,NA,NA
11.3,-25.3416311453364,vogeli_2017,-5.96666666666666,NA,NA,NA,NA,NA
11.9,-23.92243509675486,vogeli_2017,-6.1,NA,NA,NA,NA,NA
