"","section","depth","AI","SID","age","n1","D47","D47.se","temp","temp.se","n2","d18c","d18c.se","Dp17c","Dp17c.se","Dp17c.se2","dp18sw","Dp17sw","dp18sw.se","Dp17sw.se","RH","RH.sd","d18p","d18p.sd","Dp17p","Dp17p.sd","f","f.sd","Tsoil","Tsoil.sd"
"1","Lantian","1750",0.522164985852137,"LT2",2.797,4,0.631622772156751,0.00910360594327538,12.96845,2.76635249156692,3,-8.91022454191764,0.02044917385256,-30.7403716287844,14.5454714902498,18,-9.7174728824729,-23.7605457491285,0.410243051962678,26.4267920176594,0.73287989068514,0.0546956063915288,NA,2.09890717083815,20.3933757828164,5.71889248878417,NA,0.0976729274559472,13.102101658828,2.63374188354116
"2","Jiaxian","1220",0.190893092828861,"1220-3",3.0292,5,0.612506,0.00874349392405575,19.3892452571329,2.63877680629435,1,-9.6924,0.0574853459587745,-105.477410948909,18,18,-9.73159000595595,-37.0549875214927,NA,NA,0.675904973581135,0.0374730156203217,-26.7854880984858,1.92642397408645,19.3233919547963,5.74783967566508,0.231688356711054,0.0695699625538631,19.1670362402647,2.81253825537584
"3","Lantian","350-400",0.522164985852137,"LT12",3.088,5,0.622689887910593,0.0111430481943183,15.68219,3.49593763423229,2,-9.05759799598561,0.0887694214858213,-118.437093874679,19.2249993628179,18,-9.90772915947591,27.4918140059688,0.226888642909777,20.0724932501237,0.677695420097597,0.0315672791459832,-27.0199362113809,1.74701750635292,19.3851732279377,5.70952699848111,0.213223787282368,0.0643929088512731,15.8642490731894,3.41364896638305
"4","Jiaxian","1765",0.190893092828861,"1765-12",3.4831,5,0.58465,0.0128645202009247,28.1897397866808,1,1,-9.53312,0.044254348938833,-108.275796363022,18,18,-7.95576205113635,-47.3215440238843,NA,NA,0.65642049455842,0.0422214644348569,-26.1038938697561,2.1643350010576,19.3481842304498,5.66937248617894,0.220778507009235,0.0639760631784045,27.8438399147745,3.85884270011868
"5","Jiaxian","1765",0.190893092828861,"1765-7",3.4831,4,0.62612,0.0139156279053444,14.6310411502361,4.33725865591146,1,-9.29785,0.0742542853234002,-102.045723122927,18,18,-9.47643354387795,-32.8077429491276,NA,NA,0.687599399474192,0.0372268870631204,-26.5500144685751,1.92530454289145,19.2606884246073,5.77326715620326,0.235307679387734,0.0726626768091556,15.0634819060451,4.18789336179894
"6","Shilou","0-80",0.293963983992886,"SL27",3.548125,4,0.603870546696812,0.0111495946901965,21.66162,3.72264791934668,3,-8.37288756076569,0.0162490432803887,-85.472333973101,12.3419880878388,18,-7.74930168461522,-19.0005393706591,0.0967184310285893,13.7987621709025,0.669494922224776,0.0498060626249483,NA,2.35794777117352,19.5067510118171,5.76961404480558,NA,0.0704666097411777,21.8204931101961,3.70790431225694
"7","Lantian","250-300",0.522164985852137,"LT23",3.684,4,0.597025969458894,0.0111495946901965,23.93025,3.81037020053662,3,-9.74007336325274,0.0422481756369626,-92.0285604353737,12.5283388262902,18,-8.63345432784365,-27.5470522916198,0.0198477078264597,14.0071086303329,0.669378616224942,0.0443373397764329,-25.9628809543904,2.14705593720714,19.4335225821885,5.76151122466234,0.243951631600698,0.0676911842804148,24.2331496774699,3.68948713954745
"8","Shilou","310-330",0.293963983992886,"SL31",3.915714,2,0.632469812676063,0.0157679080258389,12.71508,4.83003578905431,3,-8.49761149148752,0.0451546201502588,-91.614695599084,14.1975308147432,18,-9.51487878493231,-16.6743150376896,0.139418284920413,15.8733220072462,0.685376332155324,0.0450024858424142,NA,2.17007098462268,19.591233195696,5.83768970423482,0.26054025386851,0.0753008476976139,13.5940644168883,4.41816185435353
"9","Jiaxian","2300",0.190893092828861,"2300-8",4.3533,6,0.603678333333333,0.0104679095068903,21.7246221403825,3.49325156474742,1,-8.9348,0.0530571842449256,-118.853710665507,18,18,-9.03872400456393,-49.6107414149804,NA,NA,0.659083251219865,0.0354759877428769,-26.762495671337,1.93484584277216,19.6297645008293,5.73900959579569,0.210670657058183,0.0593560236561371,22.0715764874829,3.40907278588158
"10","Lantian","2200-2300",0.522164985852137,"LT29",4.505,4,0.588965537075368,0.0131565165999896,26.67024,4.63989833207836,3,-10.5480629924805,0.0606035835176463,-62.4322354683695,7.53394936448793,18,-8.89055787826851,-0.266280055645514,0.181263693927339,8.42321145904497,0.680083687273452,0.0595287177178314,-24.9471533560994,2.54932998051042,19.2821035724784,5.8096967198811,0.28934926626854,0.0813034310119574,26.5408163100229,4.0018989040937
"11","Shilou","960",0.293963983992886,"SL35",4.51234358952381,3,0.610645882011457,0.0113103500489624,19.46636,3.69254437150249,3,-9.1120394065826,0.0456587563801615,-88.4409653449438,23.7254342656124,18,-8.77972836055418,-19.9855147073107,0.0835896455576421,26.5258419067944,0.671825706997214,0.0520762202318093,-25.7342578044843,2.47212172976513,19.3372145768401,5.81153618359066,0.276300432920865,0.0842412621392275,19.7382540229541,3.59714678328327
"12","Jiaxian","2650",0.190893092828861,"2650-1",4.8692,6,0.60355,0.0104776931303285,21.7667081629024,3.49808995740466,1,-6.697,0.155757808793011,-103.463076633849,18,18,-5.06744993251961,-42.6090057823725,NA,NA,0.64339541730945,0.0537657247093026,-24.9714926063466,2.64831092227521,19.5692941136674,5.69200817771482,0.24960240938131,0.0675872445003798,21.9239026737688,3.46427930760704
"13","Jiaxian","2650",0.190893092828861,"2650-8",4.8692,3,0.61811,0.034103427002771,17.1038009508383,11.2902963487243,1,-10.6075333333333,0.0449870845663261,-100.484470154793,18,18,-10.1420846032095,-34.3708820021449,NA,NA,0.689365343117149,0.0371042647495699,-26.8131376884309,1.84816603082967,19.1686037180442,5.75875208368455,0.22909176833231,0.0716876087229363,19.6013686076731,7.67851262411918
"14","Shilou","1430-1450",0.293963983992886,"SL85",5.05268589715384,3,0.578041830928407,0.00997250065954004,30.50751,3.63490819323363,2,-8.86334835663565,0.067011657570791,-154.256066855478,26.1647055874109,18,-6.39867933208518,-95.2133387302503,0.0718718395911537,32.0450889797086,0.634282569109725,0.0305145938189998,-27.1831307668109,1.90628348283517,19.2378912826496,5.72453698491713,0.174940078311244,0.0489290802874357,30.0110659428509,2.84470523855165
"15","Lantian","3600-3700",0.522164985852137,"LT41",5.31,3,0.593740329354957,0.0128744429914804,25.03805,4.46333041995058,1,-9.61790526797066,0.0297885432952941,-67.6726938854468,20,18,-7.94973868907391,-4.14056432754073,NA,NA,0.677083103447176,0.0607838366918406,-24.4473157395954,2.64255368713526,19.6865991829286,5.74290565343415,0.293209186388782,0.0873983388022111,25.1783959017365,4.08529044314266
"16","Lantian","4000-4100",0.522164985852137,"LT46",5.6,2,0.633940496754258,0.0240648881438412,12.27676,7.43671266937292,3,-10.3281135055929,0.0436008664573832,-120.941571069849,16.3155610059986,18,-11.4918382901816,-45.554686818833,0.146586297454456,18.2413517501649,0.686265247404447,0.0260480799667448,-28.0739029393388,1.28771617492988,19.0716618092914,5.66158668125512,0.193509073646014,0.0570677209020627,15.1454314332924,6.07918177525787
